id,name,category,size,price,caffeine,sweetness,tags,ingredients,description
1,Phin Sữa Đá,Coffee,S,45000,medium,low,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Phin Sữa Đá size S, phù hợp khách thích cà phê và hương vị đậm."
2,Phin Sữa Đá,Coffee,M,60000,medium,high,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Phin Sữa Đá size M, phù hợp khách thích cà phê và hương vị đậm."
3,Phin Sữa Đá,Coffee,L,49000,medium,low,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Phin Sữa Đá size L, phù hợp khách thích cà phê và hương vị đậm."
4,Phin Đen Đá,Coffee,S,55000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Phin Đen Đá size S, phù hợp khách thích cà phê và hương vị đậm."
5,Phin Đen Đá,Coffee,M,44000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Phin Đen Đá size M, phù hợp khách thích cà phê và hương vị đậm."
6,Phin Đen Đá,Coffee,L,55000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Phin Đen Đá size L, phù hợp khách thích cà phê và hương vị đậm."
7,Bạc Xỉu,Coffee,S,45000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Bạc Xỉu size S, phù hợp khách thích cà phê và hương vị đậm."
8,Bạc Xỉu,Coffee,M,40000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Bạc Xỉu size M, phù hợp khách thích cà phê và hương vị đậm."
9,Bạc Xỉu,Coffee,L,65000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Bạc Xỉu size L, phù hợp khách thích cà phê và hương vị đậm."
10,Latte,Coffee,S,39000,medium,high,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Latte size S, phù hợp khách thích cà phê và hương vị đậm."
11,Latte,Coffee,M,50000,medium,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Latte size M, phù hợp khách thích cà phê và hương vị đậm."
12,Latte,Coffee,L,49000,high,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Latte size L, phù hợp khách thích cà phê và hương vị đậm."
13,Americano,Coffee,S,39000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Americano size S, phù hợp khách thích cà phê và hương vị đậm."
14,Americano,Coffee,M,60000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Americano size M, phù hợp khách thích cà phê và hương vị đậm."
15,Americano,Coffee,L,55000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Americano size L, phù hợp khách thích cà phê và hương vị đậm."
16,Cappuccino,Coffee,S,45000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cappuccino size S, phù hợp khách thích cà phê và hương vị đậm."
17,Cappuccino,Coffee,M,50000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cappuccino size M, phù hợp khách thích cà phê và hương vị đậm."
18,Cappuccino,Coffee,L,65000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cappuccino size L, phù hợp khách thích cà phê và hương vị đậm."
19,Espresso,Coffee,S,55000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Espresso size S, phù hợp khách thích cà phê và hương vị đậm."
20,Espresso,Coffee,M,44000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Espresso size M, phù hợp khách thích cà phê và hương vị đậm."
21,Espresso,Coffee,L,59000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Espresso size L, phù hợp khách thích cà phê và hương vị đậm."
22,Cold Brew,Coffee,S,35000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cold Brew size S, phù hợp khách thích cà phê và hương vị đậm."
23,Cold Brew,Coffee,M,54000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cold Brew size M, phù hợp khách thích cà phê và hương vị đậm."
24,Cold Brew,Coffee,L,49000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cold Brew size L, phù hợp khách thích cà phê và hương vị đậm."
25,Mocha,Coffee,S,45000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Mocha size S, phù hợp khách thích cà phê và hương vị đậm."
26,Mocha,Coffee,M,40000,high,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Mocha size M, phù hợp khách thích cà phê và hương vị đậm."
27,Mocha,Coffee,L,49000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Mocha size L, phù hợp khách thích cà phê và hương vị đậm."
28,Caramel Macchiato,Coffee,S,55000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Caramel Macchiato size S, phù hợp khách thích cà phê và hương vị đậm."
29,Caramel Macchiato,Coffee,M,60000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Caramel Macchiato size M, phù hợp khách thích cà phê và hương vị đậm."
30,Caramel Macchiato,Coffee,L,55000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Caramel Macchiato size L, phù hợp khách thích cà phê và hương vị đậm."
31,Cà Phê Muối,Coffee,S,39000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Muối size S, phù hợp khách thích cà phê và hương vị đậm."
32,Cà Phê Muối,Coffee,M,60000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Muối size M, phù hợp khách thích cà phê và hương vị đậm."
