text,intent,is_noise,is_hard,language
cho mình hỏi do you offer birthday discounts vậy,faq,False,False,vi
123 nhé,ignore,True,False,vi
hỏi chút do you do delivery không,faq,False,False,vi
mình order 2 Trà Nhài ít đá,order,False,False,vi
có chỗ ngồi làm việc không không,faq,False,False,vi
"anh thích trà hoa quả, recommend gì Tiramisu mát",consultant,False,False,vi
one Freeze Xoài M???,order,False,True,vi
hỏi chút cho hỏi có đặt bàn trước không?  ???,faq,False,True,vi
cho em hỏi có hỗ trợ sinh nhật không nhỉ,faq,False,False,vi
recommend a drink without caffeine Freeze Caramel không caffeine,consultant,False,False,vi
what's good for hot weather Flat White đá,consultant,False,False,vi
cho mình hỏi can I pay by card ạ,faq,False,False,vi
em order 2 Trà Táo Bạc Hà M nha,order,False,False,vi
hey ạ,ignore,True,False,vi
cho hỏi  chương trình thành viên không? nhỉ,faq,False,True,vi
"anh thích trà hoa quả, recommend gì Caramel Macchiato mát",consultant,False,False,vi
đặt bàn và lấy một Freeze Caramel M,order,False,False,vi
cho em hỏi what time do you close không,faq,False,False,vi
tôi muốn mua 3 Tiramisu M,order,False,False,vi
quán có 3 Vanilla Latte M không,order,False,False,vi
mang ra 2 Double Espresso S nhé,order,False,False,vi
recommend something refreshing please Freeze Cà Phê mát nhỉ  ???,consultant,False,True,vi
suggest a drink for someone who hates coffee Mocha đá,consultant,False,False,vi
good evening...,ignore,True,False,en
gợi ý món dưới 45k Bánh Chuối ít ngọt nhỉ vậy,consultant,False,True,vi
món nào không ngọt lắm Trà Đào Ít Ngọt ít ngọt,consultant,False,False,vi
cần 2 Trà Lài Mật Ong L nhé,order,False,False,vi
cho một Hồng Trà Sữa M em,order,False,False,vi
cho hỏi what time do you open?,faq,False,False,vi
gợi ý món dưới 45k Freeze Trà Xanh ít ngọt,consultant,False,False,vi
what's good here Freeze Trà Xanh mát,consultant,False,False,vi
cho anh hai ly Sandwich Gà L,order,False,False,vi
cho em một Bánh Táo S em,order,False,False,vi
suggest something sweet but not too sweet Cà Phê Muối không caffeine,consultant,False,False,vi
được...,ignore,True,False,vi
đặt bàn và lấy 1 Brownie L,order,False,False,vi
cần 1 Freeze Đào L nhé,order,False,False,vi
cho anh 1 ly Bánh Táo S,order,False,False,vi
ừm???,ignore,True,False,vi
gọi 1 ly Cà Phê Đen Nóng đá,order,False,False,vi
nên uống gì vào buổi sáng Trà Xoài Nhiệt Đới không caffeine nhỉ  ???,consultant,False,True,vi
cho mình hỏi có size lớn không vậy,faq,False,False,vi
tôi muốn mua một Croissant M,order,False,False,vi
hỏi chút có giao tận nơi không nào,faq,False,False,vi
em gọi 2 Iced Coffee M nha,order,False,False,vi
what's your best seller today Mocha mát,consultant,False,False,vi
recommend a drink without caffeine Freeze Caramel đá,consultant,False,False,vi
cho hỏi có hỗ trợ sinh nhật không?,faq,False,False,vi
em muốn order 3 Trà Việt Quất S,order,False,False,vi
lấy 1 Freeze Trà Xanh L nhé,order,False,False,vi
ship em ba Trà Đào Ít Ngọt L nha,order,False,False,vi
cool nhé,ignore,True,False,vi
cho mình hỏi có hỗ trợ sinh nhật không nhỉ,faq,False,False,vi
order hai Flat White L nha nhỉ,order,False,True,vi
món gì cho người không uống cà phê Bánh Mì Que đá,consultant,False,False,vi
có giới hạn thời gian ngồi không không,faq,False,False,vi
anh thích cà phê đậm thì nên uống gì Bánh Phô Mai không caffeine  ,consultant,False,True,vi
món nào thay thế được cà phê Matcha Latte mát,consultant,False,False,vi
có món nào nhẹ nhẹ không Trà Kiwi ít ngọt,consultant,False,False,vi
hỏi chút có giao tận nơi không không,faq,False,False,vi
món nào bán chạy nhất Vanilla Latte mát,consultant,False,False,vi
món nào phù hợp cho buổi chiều Bánh Mì Que mát,consultant,False,False,vi
em thích trà trái cây thì uống gì Espresso đá,consultant,False,False,vi
I'd like to order ba Phin Đen Đá,order,False,False,vi
có trà nào ngon không Hồng Trà Sữa không caffeine,consultant,False,False,vi
cho hỏi can I pay by cash vậy,faq,False,False,vi
huhu???,ignore,True,False,en
đồ uống nào hợp với bánh ngọt Freeze Chanh Tuyết mát,consultant,False,False,vi
em cần 2 Freeze Việt Quất M,order,False,False,vi
lấy 1 Trà Dâu M nhé,order,False,False,vi
uhhh,ignore,True,False,en
wifi tên gì vậy vậy,faq,False,False,vi
tư vấn cho em món mát mát Bánh Mặn Phô Mai mát,consultant,False,False,vi
có món lạnh không nào,faq,False,False,vi
tnx,ignore,True,False,en
cho 2 Cà Phê Sữa Nóng L đi,order,False,False,vi
em thích trà trái cây thì uống gì Flat White không caffeine ạ,consultant,False,True,vi
cho hai Flat White size S đi,order,False,False,vi
one Freeze Socola Bạc Hà L nhỉ,order,False,True,vi
em lấy 2 Trà Việt Quất M,order,False,False,vi
tính cho tôi 1 Iced Coffee S,order,False,False,vi
can I have một Cà Phê Sữa Nóng M,order,False,False,vi
cho 2 Freeze Chocolate M em,order,False,False,en
what's good here Bánh Quy Bơ không caffeine,consultant,False,False,vi
mình lấy ba Freeze Chanh Tuyết S,order,False,False,vi
món nào hợp với khẩu vị trẻ em Trà Oolong Sữa đá,consultant,False,False,vi
em muốn order hai Bánh Su Kem M???,order,False,True,vi
suggest something sweet but not too sweet Trà Oolong Sữa không caffeine,consultant,False,False,vi
ừ???,ignore,True,False,vi
bye bye ạ,ignore,True,False,vi
hỏi chút wifi password là gì nhỉ,faq,False,False,vi
hỏi chút quán có nhận thẻ membership không ạ,faq,False,False,vi
mình order hai Trà Atiso Đỏ ít ngọt,order,False,False,vi
món nào ít calories Trà Gừng Mật Ong mát,consultant,False,False,vi
có món cho trẻ em không không,faq,False,False,vi
đặt cho một Freeze Bạc Xỉu S,order,False,False,vi
cho một Cà Phê Muối S em,order,False,False,vi
cho 2 Trà Đào Cam Sả ít đá đi,order,False,False,vi
gọi cho em một Freeze Sữa Chua Dâu M,order,False,False,vi
cho hai Trà Việt Quất L đi,order,False,False,vi
cho mình hỏi mấy giờ đóng cửa ạ,faq,False,False,vi
suggest a drink for someone who hates coffee Caramel Macchiato không caffeine nhỉ  ???,consultant,False,True,vi
thêm cho tôi một Bạc Xỉu M,order,False,False,vi
có món nào giống latte nhưng không cà phê Bánh Su Kem đá,consultant,False,False,vi
hỏi chút quán mấy giờ mở cửa không,faq,False,False,vi
cho mình hỏi mấy giờ đóng cửa nhỉ vậy,faq,False,True,vi
lấy 2 Double Espresso S nhé,order,False,False,vi
có trà nào ngon không Trà Sữa Trân Châu mát,consultant,False,False,vi
cho em hỏi what is the wifi name vậy,faq,False,False,vi
cho hỏi có nhận thanh toán công ty không không,faq,False,True,vi
món nào phù hợp cho buổi chiều Bánh Táo đá,consultant,False,False,vi
lấy cho một ly Trà Táo Bạc Hà L,order,False,False,vi
cho hỏi do you have qr payment ạ,faq,False,False,vi
cho ba Bạc Xỉu ít đường đi,order,False,False,vi
cho 2 Freeze Cà Phê S đi,order,False,False,vi
mình order 3 Iced Coffee không đường  ,order,False,True,vi
có bán hai Freeze Caramel M không,order,False,False,vi
cho hỏi do you accept credit cards nhỉ,faq,False,False,vi
"anh thích vị nhẹ, gợi ý gì Trà Nhài ít ngọt",consultant,False,False,vi
cho hỏi do you have vegetarian options?...,faq,False,True,vi
cho một Flat White lạnh đi,order,False,False,vi
cho anh 3 ly Cà Phê Muối L,order,False,False,vi
1 ly Vanilla Latte M nha vậy,order,False,True,vi
ship 3 Trà Việt Quất M,order,False,False,vi
ship em hai Trà Cam Quế M nha,order,False,False,vi
cho mình hỏi có đổi món sau khi đặt không ạ,faq,False,False,vi
cho hỏi có thanh toán qr không ạ,faq,False,False,vi
anh không uống caffeine thì nên chọn gì Phin Sữa Đá đá,consultant,False,False,vi
mình lấy 3 Freeze Xoài L,order,False,False,vi
cần 1 Trà Sen Vàng M nhé,order,False,False,vi
gợi ý món dưới 45k Phin Sữa Đá mát,consultant,False,False,vi
tạm biệt ạ,ignore,True,False,vi
em muốn order hai Freeze Sữa Chua Việt Quất L,order,False,False,vi
có món gì cho người ăn kiêng không Phin Sữa Đá đá,consultant,False,False,vi
anh ơi cho em 2 Double Espresso,order,False,False,vi
có món nào giống latte nhưng không cà phê Trà Việt Quất ít ngọt,consultant,False,False,vi
recommend something under 50000 Muffin Chocolate ít ngọt,consultant,False,False,vi
đặt 2 ly Bánh Mì Que L nha,order,False,False,vi
cho mình hỏi có phòng họp không ạ,faq,False,False,vi
em order một Trà Thanh Đào S nha,order,False,False,vi
mình order 1 Freeze Cookies nhiều đá,order,False,False,vi
cho mình hỏi có món nóng không không,faq,False,False,vi
mình order 3 Vanilla Latte size L,order,False,False,vi
món nào không ngọt lắm Tiramisu mát,consultant,False,False,vi
mình lấy 2 Freeze Việt Quất L,order,False,False,vi
có chương trình thành viên không ạ,faq,False,False,vi
I'd like 3 Freeze Trà Xanh S please,order,False,False,vi
cho em hỏi cho hỏi có size lớn không không nhỉ,faq,False,True,vi
cho mình hỏi có giảm giá sinh viên không ạ,faq,False,False,vi
what's your return policy nào,faq,False,False,vi
tư vấn cho em món mát mát Freeze Việt Quất ít ngọt,consultant,False,False,vi
hỏi chút do you have vegetarian options không,faq,False,False,vi
cho em hỏi có chỗ đậu xe không vậy,faq,False,False,vi
đồ uống nào hợp với bánh ngọt Freeze Cookies ít ngọt,consultant,False,False,vi
ship một Bánh Mặn Phô Mai L,order,False,False,vi
cho 3 Sandwich Cá Ngừ size M đi,order,False,False,vi
cho mình hỏi có nhận đặt tiệc không?,faq,False,False,vi
please give me 1 Hồng Trà Sữa L,order,False,False,vi
anh không uống caffeine thì nên chọn gì Freeze Chanh Tuyết ít ngọt,consultant,False,False,vi
có đồ uống healthy không Bánh Quy Bơ ít ngọt,consultant,False,False,vi
lấy 1 Freeze Sữa Chua Dâu S nhé,order,False,False,vi
mình lấy một Flat White S,order,False,False,vi
mình lấy ba Freeze Sữa Chua Dâu L,order,False,False,vi
cho a ba Freeze Cà Phê???,order,False,True,vi
I'd like to order 3 Cà Phê Muối,order,False,False,vi
tôi muốn mua hai Trà Xoài Nhiệt Đới M,order,False,False,vi
cảm ơn nha???,ignore,True,False,vi
recommend a drink without caffeine Cold Brew đá,consultant,False,False,vi
gợi ý cho khách không ăn đường Bánh Mì Pate không caffeine,consultant,False,False,vi
suggest a light refreshing drink Muffin Chocolate đá,consultant,False,False,vi
"anh thích trà hoa quả, recommend gì Trà Đào Cam Sả không caffeine",consultant,False,False,vi
cho em hỏi có chương trình thành viên không nào,faq,False,False,vi
bye nhé,ignore,True,False,vi
tôi muốn mua 1 Freeze Việt Quất L,order,False,False,vi
lấy một Freeze Việt Quất S nhé,order,False,False,vi
có phòng họp không ạ,faq,False,False,vi
lấy hai Trà Kiwi S nhé,order,False,False,vi
ty,ignore,True,False,en
gọi hai ly Croissant ít đường,order,False,False,vi
có gì ngon không em Freeze Xoài ít ngọt nhỉ ạ,consultant,False,True,vi
hỏi chút có món lạnh không nhỉ,faq,False,False,vi
ship em 3 Trà Lài Mật Ong S nha,order,False,False,vi
"I prefer tea-based drinks, what should I get Hồng Trà Sữa mát",consultant,False,False,vi
"anh không thích ngọt, tư vấn gì Freeze Việt Quất đá",consultant,False,False,vi
có gì ngon không em Phin Đen Đá đá,consultant,False,False,vi
"anh không thích ngọt, tư vấn gì Trà Vải mát nhỉ  ???",consultant,False,True,vi
cho mình hỏi do you have vegan options vậy,faq,False,False,vi
what time do you close nào,faq,False,False,vi
món nào ít calories Phin Sữa Đá mát,consultant,False,False,vi
cho mình hỏi do you have qr payment không,faq,False,False,vi
haha thú vị???,ignore,True,False,vi
can I have 1 Cà Phê Đen Nóng M,order,False,False,vi
tư vấn cho em món ngon giá rẻ Flat White không caffeine,consultant,False,False,vi
tư vấn cho em món ngon giá rẻ Tiramisu đá,consultant,False,False,vi
please give me hai Freeze Sữa Chua Việt Quất L,order,False,False,vi
3 ly Trà Đào Ít Ngọt M nha,order,False,False,vi
recommend something under 50000 Muffin Chocolate mát,consultant,False,False,vi
uhhh...,ignore,True,False,en
em lấy một Freeze Trà Xanh S,order,False,False,vi
món nào không ngọt lắm Americano không caffeine,consultant,False,False,vi
cho mình hỏi có ổ cắm điện không vậy,faq,False,False,vi
cho ba Freeze Caramel S em,order,False,False,en
lấy cho ba ly Trà Thanh Đào L,order,False,False,vi
suggest something sweet but not too sweet Vietnamese Latte đá,consultant,False,False,vi
mình order 1 Freeze Matcha Đậu Đỏ nhiều đá,order,False,False,vi
recommend a drink without caffeine Vietnamese Latte mát,consultant,False,False,vi
cho em hỏi wifi tên gì vậy vậy,faq,False,False,vi
có nhận đặt tiệc không?,faq,False,False,vi
cho một cốc Trà Cam Quế M,order,False,False,vi
mình order 2 Trà Đào Cam Sả size L,order,False,False,vi
món nào ít calories Freeze Xoài mát,consultant,False,False,vi
no,ignore,True,False,en
có gì uống mát không Phin Sữa Đá đá,consultant,False,False,vi
có nhận đặt qua điện thoại không nào,faq,False,False,vi
có hoàn tiền không?,faq,False,False,vi
có món nào nhẹ nhẹ không Espresso đá,consultant,False,False,vi
lấy hai Cappuccino S nhé,order,False,False,vi
bye bye,ignore,True,False,en
what's good here Freeze Xoài không caffeine nhỉ...,consultant,False,True,vi
cho em hỏi có món nóng không không,faq,False,False,vi
gợi ý món dưới 45k Trà Nhài đá,consultant,False,False,vi
suggest a drink for someone who hates coffee Bánh Phô Mai đá nhỉ.,consultant,False,True,vi
không???,ignore,True,False,vi
good afternoon nhé,ignore,True,False,vi
món nào thay thế được cà phê Freeze Chanh Tuyết đá,consultant,False,False,vi
I'd like ba Freeze Đào M please,order,False,False,vi
can I have một Trà Sữa Trân Châu L,order,False,False,vi
cho em hỏi what's your return policy?,faq,False,False,vi
ship 1 Hồng Trà Sữa L,order,False,False,vi
mình order 1 Freeze Dâu ít đá,order,False,False,vi
bên em có 1 Cold Brew L không,order,False,False,vi
gợi ý món dưới 45k Croissant đá,consultant,False,False,vi
I want một Sandwich Gà,order,False,False,vi
"anh thích đồ uống chua, có gì Freeze Bạc Xỉu đá",consultant,False,False,vi
"anh không thích ngọt, tư vấn gì Bánh Mì Pate mát",consultant,False,False,vi
order ba Cà Phê Đen Nóng M nha,order,False,False,vi
gọi một ly Freeze Sữa Chua Việt Quất nhiều đá,order,False,False,vi
đặt bàn và lấy ba Freeze Chanh Tuyết S,order,False,False,vi
cho 1 Bánh Su Kem M đi,order,False,False,vi
cho ba cốc Trà Thanh Đào L,order,False,False,vi
mang cho em 2 Iced Coffee vậy,order,False,True,vi
tính cho tôi 1 Bánh Su Kem M,order,False,False,vi
good afternoon ạ,ignore,True,False,vi
what do you recommend Espresso đá,consultant,False,False,vi
what do you recommend Brownie mát à,consultant,False,True,vi
I want 3 Bánh Su Kem,order,False,False,vi
